symptom
congestion_in_chest
muscle_swelling
pus_in_urine
abnormal_size_or_shape_of_ear
low_back_weakness
sleepiness
apnea
abnormal_breathing_sounds
excessive_growth
elbow_cramps_or_spasms
feeling_hot_and_cold
blood_clots_during_menstrual_periods
absence_of_menstruation
pulling_at_ears
gum_pain
redness_in_ear
fluid_retention
flulike_syndrome
sinus_congestion
painful_sinuses
fears_and_phobias
recent_pregnancy
uterine_contractions
burning_chest_pain
back_cramps_or_spasms
stiffness_all_over
muscle_cramps_contractures_or_spasms
low_back_cramps_or_spasms
back_mass_or_lump
nosebleed
long_menstrual_periods
heavy_menstrual_flow
unpredictable_menstruation
painful_menstruation
infertility
frequent_menstruation
sweating
mass_on_eyelid
swollen_eye
eyelid_swelling
eyelid_lesion_or_rash
unwanted_hair
symptoms_of_bladder
irregular_appearing_nails
itching_of_skin
hurts_to_breath
nailbiting
skin_dryness_peeling_scaliness_or_roughness
skin_on_arm_or_hand_looks_infected
skin_irritation
itchy_scalp
hip_swelling
incontinence_of_stool
foot_or_toe_cramps_or_spasms
warts
bumps_on_penis
too_little_hair
foot_or_toe_lump_or_mass
skin_rash
mass_or_swelling_around_the_anus
low_back_swelling
ankle_swelling
hip_lump_or_mass
drainage_in_throat
dry_or_flaky_scalp
premenstrual_tension_or_irritability
feeling_hot
feet_turned_in
foot_or_toe_stiffness_or_tightness
pelvic_pressure
elbow_swelling
elbow_stiffness_or_tightness
early_or_late_onset_of_menopause
mass_on_ear
bleeding_from_ear
hand_or_finger_weakness
low_selfesteem
throat_irritation
itching_of_the_anus
swollen_or_red_tonsils
irregular_belly_button
swollen_tongue
lip_sore
vulvar_sore
hip_stiffness_or_tightness
mouth_pain
arm_weakness
leg_lump_or_mass
disturbance_of_smell_or_taste
discharge_in_stools
penis_pain
loss_of_sex_drive
obsessions_and_compulsions
antisocial_behavior
neck_cramps_or_spasms
pupils_unequal
poor_circulation
thirst
sleepwalking
skin_oiliness
sneezing
bladder_mass
knee_cramps_or_spasms
premature_ejaculation
leg_weakness
posture_problems
bleeding_in_mouth
tongue_bleeding
change_in_skin_mole_size_or_color
penis_redness
penile_discharge
shoulder_lump_or_mass
polyuria
cloudy_eye
hysterical_behavior
arm_lump_or_mass
nightmares
bleeding_gums
pain_in_gums
bedwetting
diaper_rash
lump_or_mass_of_breast
vaginal_bleeding_after_menopause
infrequent_menstruation
mass_on_vulva
jaw_pain
itching_of_scrotum
postpartum_problems_of_the_breast
eyelid_retracted
hesitancy
elbow_lump_or_mass
muscle_weakness
throat_redness
joint_swelling
tongue_pain
redness_in_or_around_nose
wrinkles_on_skin
foot_or_toe_weakness
hand_or_finger_cramps_or_spasms
back_stiffness_or_tightness
wrist_lump_or_mass
skin_pain
low_back_stiffness_or_tightness
low_urine_output
skin_on_head_or_neck_looks_infected
stuttering_or_stammering
problems_with_orgasm
nose_deformity
lump_over_jaw
sore_in_nose
hip_weakness
back_swelling
ankle_stiffness_or_tightness
ankle_weakness
neck_weakness
